
132539382 : 45%, 13%, 46%, 86%, 65%, 7%, 16%
142532387 : 79%, 75%, 40%, 44%, 60%, 17%, 16%
912539481 : 95%, 20%, 80%, 21%, 5%, 60%, 32%
112539386 : 75%, 37%, 60%, 29%, 6%, 21%, 74%
612589388 : 54%, 78%, 29%, 88%, 78%, 16%, 34%
642539381 : 90%, 23%, 22%, 16%, 27%, 90%, 22%
412599386 : 75%, 44%, 37%, 20%, 76%, 10%, 77%
212519387 : 62%, 34%, 24%, 64%, 91%, 49%, 69%
132539381 : 76%, 86%, 56%, 59%, 86%, 41%, 24%
142232186 : 97%, 11%, 56%, 82%, 0%, 81%, 5%
912539482 : 96%, 57%, 4%, 78%, 70%, 9%, 0%
212539386 : 93%, 23%, 9%, 30%, 10%, 97%, 91%
512589381 : 43%, 4%, 24%, 86%, 66%, 64%, 14%
642539382 : 37%, 65%, 57%, 40%, 48%, 97%, 77%
412599387 : 32%, 81%, 38%, 75%, 29%, 72%, 65%
212529386 : 76%, 19%, 85%, 20%, 40%, 69%, 82%
132539380 : 62%, 47%, 29%, 76%, 43%, 33%, 53%
142239182 : 7%, 31%, 95%, 34%, 16%, 91%, 59%
912539583 : 92%, 47%, 37%, 21%, 11%, 22%, 61%
312539386 : 42%, 71%, 55%, 81%, 25%, 26%, 67%

412589382 : 84%, 38%, 66%, 26%, 95%, 31%, 74%
642539383 : 18%, 27%, 64%, 4%, 64%, 24%, 25%
412599388 : 49%, 42%, 40%, 12%, 80%, 5%, 84%
212539385 : 72%, 47%, 99%, 28%, 46%, 20%, 20%


132539386 : 76%, 74%, 94%, 18%, 6%, 85%, 22%
142519183 : 92%, 29%, 7%, 21%, 59%, 85%, 73%
912539584 : 19%, 73%, 16%, 46%, 97%, 36%, 92%
412539386 : 28%, 14%, 69%, 44%, 20%, 83%, 12%
312589383 : 91%, 66%, 98%, 49%, 11%, 53%, 42%
642539384 : 53%, 69%, 86%, 57%, 38%, 2%, 56%
412599389 : 13%, 33%, 90%, 21%, 20%, 10%, 52%
212549384 : 74%, 82%, 81%, 48%, 84%, 27%, 47%
132539389 : 60%, 25%, 73%, 86%, 2%, 10%, 1%
142529189 : 62%, 9%, 72%, 48%, 31%, 31%, 66%
912539585 : 3%, 30%, 89%, 59%, 34%, 36%, 15%
512539386 : 80%, 78%, 23%, 99%, 73%, 59%, 16%
912589387 : 84%, 16%, 0%, 27%, 25%, 95%, 93%
642539385 : 44%, 12%, 71%, 36%, 91%, 54%, 50%
412599380 : 24%, 18%, 73%, 88%, 78%, 86%, 70%


212559383 : 52%, 92%, 89%, 49%, 91%, 31%, 79%
