
132539382 : 96%, 3%, 54%, 20%, 58%, 51%, 1%, 92%, 30%, 65%, 96%, 35%, 84%
142532387 : 8%, 31%, 69%, 20%, 11%, 83%, 14%, 34%, 44%, 98%, 23%, 53%, 4%
912539481 : 97%, 0%, 29%, 11%, 23%, 45%, 40%, 41%, 99%, 90%, 87%, 71%, 65%
112539386 : 49%, 13%, 93%, 27%, 87%, 7%, 33%, 78%, 41%, 72%, 77%, 53%, 79%
612589388 : 30%, 4%, 53%, 51%, 5%, 30%, 66%, 53%, 54%, 1%, 63%, 18%, 41%



642539381 : 51%, 94%, 42%, 8%, 41%, 81%, 49%, 46%, 33%, 0%, 41%, 17%, 10%
412599386 : 15%, 20%, 25%, 55%, 27%, 51%, 57%, 43%, 14%, 35%, 88%, 47%, 84%
212519387 : 56%, 4%, 11%, 95%, 12%, 30%, 8%, 46%, 56%, 38%, 36%, 33%, 30%
132539381 : 96%, 4%, 33%, 96%, 4%, 11%, 33%, 95%, 15%, 46%, 27%, 98%, 74%
142232186 : 11%, 61%, 97%, 36%, 59%, 54%, 60%, 57%, 24%, 44%, 34%, 38%, 88%


912539482 : 11%, 9%, 63%, 59%, 81%, 89%, 22%, 96%, 55%, 53%, 10%, 17%, 31%
212539386 : 76%, 14%, 89%, 41%, 57%, 84%, 96%, 37%, 19%, 46%, 48%, 19%, 79%
512589381 : 82%, 72%, 73%, 72%, 59%, 98%, 58%, 15%, 0%, 23%, 31%, 55%, 64%
642539382 : 37%, 76%, 77%, 55%, 7%, 87%, 19%, 27%, 77%, 46%, 68%, 82%, 86%

412599387 : 50%, 41%, 51%, 92%, 63%, 15%, 39%, 2%, 7%, 49%, 22%, 83%, 93%
212529386 : 11%, 58%, 16%, 76%, 90%, 57%, 85%, 93%, 46%, 20%, 59%, 63%, 39%
132539380 : 60%, 0%, 51%, 4%, 26%, 5%, 89%, 72%, 48%, 17%, 64%, 8%, 60%
142239182 : 15%, 16%, 62%, 30%, 27%, 54%, 72%, 14%, 75%, 60%, 11%, 1%, 56%
912539583 : 10%, 96%, 93%, 4%, 20%, 91%, 28%, 24%, 54%, 39%, 51%, 2%, 23%
312539386 : 17%, 93%, 20%, 63%, 41%, 52%, 68%, 29%, 41%, 69%, 30%, 15%, 93%
412589382 : 4%, 90%, 24%, 85%, 40%, 40%, 3%, 69%, 95%, 93%, 79%, 44%, 96%
642539383 : 72%, 79%, 36%, 61%, 77%, 11%, 27%, 4%, 37%, 79%, 93%, 12%, 19%
412599388 : 59%, 33%, 27%, 68%, 27%, 62%, 88%, 27%, 86%, 38%, 99%, 69%, 98%
212539385 : 10%, 99%, 53%, 22%, 99%, 41%, 18%, 44%, 79%, 88%, 92%, 80%, 92%
132539386 : 19%, 88%, 89%, 67%, 11%, 31%, 72%, 21%, 80%, 70%, 42%, 26%, 66%
142519183 : 16%, 56%, 69%, 86%, 41%, 37%, 92%, 78%, 0%, 28%, 50%, 15%, 79%

912539584 : 51%, 93%, 74%, 80%, 44%, 34%, 88%, 34%, 43%, 0%, 38%, 19%, 26%
412539386 : 67%, 96%, 77%, 30%, 29%, 10%, 95%, 33%, 25%, 62%, 74%, 92%, 47%
312589383 : 54%, 88%, 14%, 19%, 59%, 38%, 52%, 32%, 79%, 79%, 46%, 0%, 26%
642539384 : 8%, 38%, 31%, 72%, 56%, 31%, 67%, 14%, 70%, 95%, 0%, 70%, 99%
412599389 : 40%, 19%, 45%, 26%, 31%, 99%, 87%, 96%, 79%, 99%, 19%, 24%, 40%
212549384 : 99%, 66%, 94%, 87%, 17%, 31%, 29%, 2%, 1%, 57%, 1%, 52%, 6%
132539389 : 43%, 25%, 33%, 84%, 92%, 14%, 48%, 60%, 97%, 33%, 86%, 53%, 48%
142529189 : 46%, 13%, 29%, 28%, 38%, 11%, 48%, 15%, 31%, 0%, 19%, 82%, 78%
912539585 : 69%, 40%, 96%, 38%, 61%, 43%, 73%, 24%, 56%, 61%, 63%, 95%, 6%
512539386 : 5%, 75%, 80%, 2%, 33%, 8%, 34%, 68%, 84%, 16%, 73%, 73%, 19%
912589387 : 89%, 4%, 90%, 12%, 24%, 13%, 2%, 14%, 45%, 8%, 63%, 58%, 71%
642539385 : 42%, 79%, 23%, 90%, 51%, 66%, 32%, 31%, 6%, 72%, 35%, 29%, 67%
412599380 : 11%, 48%, 9%, 84%, 24%, 23%, 65%, 42%, 54%, 69%, 34%, 44%, 36%
212559383 : 49%, 93%, 92%, 60%, 67%, 16%, 43%, 61%, 65%, 54%, 45%, 94%, 64%


